station_id,bikes_available,docks_available,time
2,2,25,2013/08/29 12:06:01
2,2,25,2013/08/29 12:07:01
2,2,25,2013/08/29 12:08:01
2,2,25,2013/08/29 12:09:01
2,2,25,2013/08/29 12:10:01
2,14,13,2013/11/30 08:15:03
2,14,13,2013/11/30 08:16:02
2,14,13,2013/11/30 08:17:02
2,14,13,2013/11/30 08:18:03
2,14,13,2013/11/30 08:19:02
2,12,15,2014/02/28 23:59:03
3,8,7,2013/08/29 12:06:01
3,8,7,2013/08/29 12:07:01
3,8,7,2013/08/29 12:08:01
3,8,7,2013/08/29 12:09:01
3,11,4,2013/11/30 08:15:03
3,11,4,2013/11/30 08:16:02
3,11,4,2013/11/30 08:17:02
3,11,4,2013/11/30 08:18:03
3,11,4,2013/11/30 08:19:02
3,9,6,2014/02/28 23:59:03
4,0,11,2013/08/29 12:06:01
4,0,11,2013/08/29 12:07:01
4,0,11,2013/08/29 12:08:01
4,0,11,2013/08/29 12:09:01
4,5,6,2013/11/30 08:15:03
4,5,6,2013/11/30 08:16:02
4,5,6,2013/11/30 08:17:02
4,5,6,2013/11/30 08:18:03
4,5,6,2013/11/30 08:19:02
4,6,5,2014/02/28 23:59:03
5,10,9,2013/08/29 12:06:01
5,10,9,2013/08/29 12:07:01
5,10,9,2013/08/29 12:08:01
5,10,9,2013/08/29 12:09:01
5,10,9,2013/11/30 08:15:03
5,10,9,2013/11/30 08:16:02
5,10,9,2013/11/30 08:17:02
5,10,9,2013/11/30 08:18:03
5,10,9,2013/11/30 08:19:02
5,11,8,2014/02/28 23:59:03
6,1,14,2013/08/29 12:06:01
6,1,14,2013/08/29 12:07:01
6,1,14,2013/08/29 12:08:01
6,1,14,2013/08/29 12:09:01
6,5,10,2013/11/30 08:15:03
6,5,10,2013/11/30 08:16:02
6,5,10,2013/11/30 08:17:02
6,5,10,2013/11/30 08:18:03
6,5,10,2013/11/30 08:19:02
6,7,8,2014/02/28 23:59:03
7,0,15,2013/08/29 12:06:01
7,0,15,2013/08/29 12:07:01
7,0,15,2013/08/29 12:08:01
7,0,15,2013/08/29 12:09:01
7,10,5,2013/11/30 08:15:03
7,10,5,2013/11/30 08:16:02
7,10,5,2013/11/30 08:17:02
7,10,5,2013/11/30 08:18:03
7,10,5,2013/11/30 08:19:02
7,8,7,2014/02/28 23:59:03
8,8,7,2013/08/29 12:06:01
8,8,7,2013/08/29 12:07:01
8,8,7,2013/08/29 12:08:01
8,8,7,2013/08/29 12:09:01
8,9,6,2013/11/30 08:15:03
8,9,6,2013/11/30 08:16:02
8,9,6,2013/11/30 08:17:02
8,9,6,2013/11/30 08:18:03
8,9,6,2013/11/30 08:19:02
8,9,6,2014/02/28 23:59:03
9,7,8,2013/08/29 12:06:01
9,7,8,2013/08/29 12:07:01
9,7,8,2013/08/29 12:08:01
9,7,8,2013/08/29 12:09:01
9,8,7,2013/11/30 08:16:02
9,8,7,2013/11/30 08:17:02
9,8,7,2013/11/30 08:18:03
9,8,7,2013/11/30 08:19:02
9,8,7,2013/11/30 08:20:02
10,8,7,2013/08/29 12:06:01
10,8,7,2013/08/29 12:07:01
10,8,7,2013/08/29 12:08:01
10,8,7,2013/08/29 12:09:01
10,8,7,2013/08/29 12:10:01
10,10,5,2013/11/30 08:17:02
10,10,5,2013/11/30 08:18:03
10,10,5,2013/11/30 08:19:02
10,10,5,2013/11/30 08:20:02
10,10,5,2013/11/30 08:21:02
11,9,10,2013/08/29 12:07:01
11,9,10,2013/08/29 12:08:01
11,9,10,2013/08/29 12:09:01
11,10,9,2013/08/29 12:10:01
11,10,9,2013/08/29 12:11:01
11,8,11,2013/11/30 08:18:03
11,8,11,2013/11/30 08:19:02
11,8,11,2013/11/30 08:20:02
11,8,11,2013/11/30 08:21:02
11,8,11,2013/11/30 08:22:02
12,4,15,2013/08/29 12:08:01
12,5,14,2013/08/29 12:09:01
12,5,14,2013/08/29 12:10:01
12,5,14,2013/08/29 12:11:01
12,6,13,2013/08/29 12:12:01
12,7,12,2013/11/30 08:19:02
12,7,12,2013/11/30 08:20:02
12,7,12,2013/11/30 08:21:02
12,7,12,2013/11/30 08:22:02
12,7,12,2013/11/30 08:23:02
13,0,15,2013/08/29 12:09:01
13,0,15,2013/08/29 12:10:01
13,0,15,2013/08/29 12:11:01
13,0,15,2013/08/29 12:12:01
13,0,15,2013/08/29 12:13:01
13,6,9,2013/11/30 08:20:02
13,6,9,2013/11/30 08:21:02
13,6,9,2013/11/30 08:22:02
13,6,9,2013/11/30 08:23:02
13,6,9,2013/11/30 08:24:02
14,10,9,2013/08/29 12:10:01
14,10,9,2013/08/29 12:11:01
